Generation,Evaluation Score
230,182858134.2528663414996720874210293
231,182858134.2528663414996720874210293
232,182858134.2528663414996720874210293
233,182858134.2528663414996720874210293
234,182858134.2528663414996720874210293
235,182858134.2528663414996720874210293
236,182858134.2528663414996720874210293
237,182858134.2528663414996720874210293
238,182858134.2528663414996720874210293
239,182858134.2528663414996720874210293
240,182858134.2528663414996720874210293
241,182858134.2528663414996720874210293
242,182858134.2528663414996720874210293
243,182858134.2528663414996720874210293
244,182858134.2528663414996720874210293
245,182858134.2528663414996720874210293
246,182858134.2528663414996720874210293
247,182858134.2528663414996720874210293
248,182858134.2528663414996720874210293
249,182858134.2528663414996720874210293
250,182858134.2528663414996720874210293
251,182858134.2528663414996720874210293
252,182858134.2528663414996720874210293
253,182858134.2528663414996720874210293
254,182858134.2528663414996720874210293
255,182858134.2528663414996720874210293
256,182858134.2528663414996720874210293
257,182858134.2528663414996720874210293
258,182858134.2528663414996720874210293
259,182858134.2528663414996720874210293
260,182858134.2528663414996720874210293
261,182858134.2528663414996720874210293
262,182858134.2528663414996720874210293
263,182858134.2528663414996720874210293
264,182858134.2528663414996720874210293
265,182858134.2528663414996720874210293
266,182858134.2528663414996720874210293
267,182858134.2528663414996720874210293
268,182858134.2528663414996720874210293
269,182858134.2528663414996720874210293
270,182858134.2528663414996720874210293
271,182858134.2528663414996720874210293
272,182858134.2528663414996720874210293
273,182858134.2528663414996720874210293
274,182858134.2528663414996720874210293
275,182858134.2528663414996720874210293
276,182858134.2528663414996720874210293
277,182858134.2528663414996720874210293
278,182858134.2528663414996720874210293
279,182858134.2528663414996720874210293
280,182858134.2528663414996720874210293
281,182858134.2528663414996720874210293
282,182858134.2528663414996720874210293
283,182858134.2528663414996720874210293
284,182858134.2528663414996720874210293
285,182858134.2528663414996720874210293
286,182858134.2528663414996720874210293
287,182858134.2528663414996720874210293
288,182858134.2528663414996720874210293
289,182858134.2528663414996720874210293
290,182858134.2528663414996720874210293
291,182858134.2528663414996720874210293
292,182858134.2528663414996720874210293
293,182858134.2528663414996720874210293
294,182858134.2528663414996720874210293
295,182858134.2528663414996720874210293
296,182858134.2528663414996720874210293
297,182858134.2528663414996720874210293
298,182858134.2528663414996720874210293
299,182858134.2528663414996720874210293
300,182858134.2528663414996720874210293
301,182858134.2528663414996720874210293
302,182858134.2528663414996720874210293
303,182858134.2528663414996720874210293
304,182858134.2528663414996720874210293
305,182858134.2528663414996720874210293
306,182858134.2528663414996720874210293
307,182858134.2528663414996720874210293
308,182858134.2528663414996720874210293
309,182858134.2528663414996720874210293
310,182858134.2528663414996720874210293
311,182858134.2528663414996720874210293
312,182858134.2528663414996720874210293
313,182858134.2528663414996720874210293
314,182858134.2528663414996720874210293
315,182858134.2528663414996720874210293
316,182858134.2528663414996720874210293
317,182858134.2528663414996720874210293
318,182858134.2528663414996720874210293
319,182858134.2528663414996720874210293
320,182858134.2528663414996720874210293
321,182858134.2528663414996720874210293
322,182858134.2528663414996720874210293
323,182858134.2528663414996720874210293
324,182858134.2528663414996720874210293
325,182858134.2528663414996720874210293
326,182858134.2528663414996720874210293
327,182858134.2528663414996720874210293
328,182858134.2528663414996720874210293
329,182858134.2528663414996720874210293
330,182858134.2528663414996720874210293
331,182858134.2528663414996720874210293
332,182858134.2528663414996720874210293
333,182858134.2528663414996720874210293
334,182858134.2528663414996720874210293
335,182858134.2528663414996720874210293
336,182858134.2528663414996720874210293
337,182858134.2528663414996720874210293
338,182858134.2528663414996720874210293
339,182858134.2528663414996720874210293
340,182858134.2528663414996720874210293
341,182858134.2528663414996720874210293
342,182858134.2528663414996720874210293
343,182858134.2528663414996720874210293
344,182858134.2528663414996720874210293
345,182858134.2528663414996720874210293
346,182858134.2528663414996720874210293
347,182858134.2528663414996720874210293
348,182858134.2528663414996720874210293
349,182858134.2528663414996720874210293
350,182858134.2528663414996720874210293
351,182858134.2528663414996720874210293
352,182858134.2528663414996720874210293
353,182858134.2528663414996720874210293
354,182858134.2528663414996720874210293
355,182858134.2528663414996720874210293
356,182858134.2528663414996720874210293
357,182858134.2528663414996720874210293
358,182858134.2528663414996720874210293
359,182858134.2528663414996720874210293
360,182858134.2528663414996720874210293
361,182858134.2528663414996720874210293
362,182858134.2528663414996720874210293
363,182858134.2528663414996720874210293
364,182858134.2528663414996720874210293
365,182858134.2528663414996720874210293
366,182858134.2528663414996720874210293
367,182858134.2528663414996720874210293
368,182858134.2528663414996720874210293
369,182858134.2528663414996720874210293
370,182858134.2528663414996720874210293
371,182858134.2528663414996720874210293
372,182858134.2528663414996720874210293
373,182858134.2528663414996720874210293
374,182858134.2528663414996720874210293
375,182858134.2528663414996720874210293
376,182858134.2528663414996720874210293
377,182858134.2528663414996720874210293
378,182858134.2528663414996720874210293
379,182858134.2528663414996720874210293
380,182858134.2528663414996720874210293
381,182858134.2528663414996720874210293
382,182858134.2528663414996720874210293
383,182858134.2528663414996720874210293
384,182858134.2528663414996720874210293
385,182858134.2528663414996720874210293
386,182858134.2528663414996720874210293
387,182858134.2528663414996720874210293
388,182858134.2528663414996720874210293
389,182858134.2528663414996720874210293
390,182858134.2528663414996720874210293
391,182858134.2528663414996720874210293
392,182858134.2528663414996720874210293
393,182858134.2528663414996720874210293
394,182858134.2528663414996720874210293
395,182858134.2528663414996720874210293
396,182858134.2528663414996720874210293
397,182858134.2528663414996720874210293
398,182858134.2528663414996720874210293
399,182858134.2528663414996720874210293
400,182858134.2528663414996720874210293
401,182858134.2528663414996720874210293
402,182858134.2528663414996720874210293
403,182858134.2528663414996720874210293
404,182858134.2528663414996720874210293
405,182858134.2528663414996720874210293
406,182858134.2528663414996720874210293
407,182858134.2528663414996720874210293
408,182858134.2528663414996720874210293
409,182858134.2528663414996720874210293
410,182858134.2528663414996720874210293
411,182858134.2528663414996720874210293
412,182858134.2528663414996720874210293
413,182858134.2528663414996720874210293
414,182858134.2528663414996720874210293
415,182858134.2528663414996720874210293
416,182858134.2528663414996720874210293
417,182858134.2528663414996720874210293
418,182858134.2528663414996720874210293
419,182858134.2528663414996720874210293
420,182858134.2528663414996720874210293
421,182858134.2528663414996720874210293
422,182858134.2528663414996720874210293
423,182858134.2528663414996720874210293
424,182858134.2528663414996720874210293
425,182858134.2528663414996720874210293
426,182858134.2528663414996720874210293
427,182858134.2528663414996720874210293
428,182858134.2528663414996720874210293
429,182858134.2528663414996720874210293
430,182858134.2528663414996720874210293
431,182858134.2528663414996720874210293
432,182858134.2528663414996720874210293
433,182858134.2528663414996720874210293
434,182858134.2528663414996720874210293
435,182858134.2528663414996720874210293
436,182858134.2528663414996720874210293
437,182858134.2528663414996720874210293
438,182858134.2528663414996720874210293
439,182858134.2528663414996720874210293
440,182858134.2528663414996720874210293
441,182858134.2528663414996720874210293
442,182858134.2528663414996720874210293
443,182858134.2528663414996720874210293
444,182858134.2528663414996720874210293
445,182858134.2528663414996720874210293
446,182858134.2528663414996720874210293
447,182858134.2528663414996720874210293
448,182858134.2528663414996720874210293
449,182858134.2528663414996720874210293
450,182858134.2528663414996720874210293
451,182858134.2528663414996720874210293
452,182858134.2528663414996720874210293
453,182858134.2528663414996720874210293
454,182858134.2528663414996720874210293
455,182858134.2528663414996720874210293
456,182858134.2528663414996720874210293
457,182858134.2528663414996720874210293
458,182858134.2528663414996720874210293
459,182858134.2528663414996720874210293
460,182858134.2528663414996720874210293
461,182858134.2528663414996720874210293
462,182858134.2528663414996720874210293
463,182858134.2528663414996720874210293
464,182858134.2528663414996720874210293
465,182858134.2528663414996720874210293
466,182858134.2528663414996720874210293
467,182858134.2528663414996720874210293
468,182858134.2528663414996720874210293
469,182858134.2528663414996720874210293
470,182858134.2528663414996720874210293
471,182858134.2528663414996720874210293
472,182858134.2528663414996720874210293
473,182858134.2528663414996720874210293
474,182858134.2528663414996720874210293
475,182858134.2528663414996720874210293
476,182858134.2528663414996720874210293
477,182858134.2528663414996720874210293
478,182858134.2528663414996720874210293
479,182858134.2528663414996720874210293
480,182858134.2528663414996720874210293
481,182858134.2528663414996720874210293
482,182858134.2528663414996720874210293
483,182858134.2528663414996720874210293
484,182858134.2528663414996720874210293
485,182858134.2528663414996720874210293
486,182858134.2528663414996720874210293
487,182858134.2528663414996720874210293
488,182858134.2528663414996720874210293
489,182858134.2528663414996720874210293
490,182858134.2528663414996720874210293
491,182858134.2528663414996720874210293
492,182858134.2528663414996720874210293
493,182858134.2528663414996720874210293
494,182858134.2528663414996720874210293
495,182858134.2528663414996720874210293
496,182858134.2528663414996720874210293
497,182858134.2528663414996720874210293
498,182858134.2528663414996720874210293
499,182858134.2528663414996720874210293
500,182858134.2528663414996720874210293
501,182858134.2528663414996720874210293
502,182858134.2528663414996720874210293
503,182858134.2528663414996720874210293
504,182858134.2528663414996720874210293
505,182858134.2528663414996720874210293
506,182858134.2528663414996720874210293
507,182858134.2528663414996720874210293
508,182858134.2528663414996720874210293
509,182858134.2528663414996720874210293
510,182858134.2528663414996720874210293
511,182858134.2528663414996720874210293
512,182858134.2528663414996720874210293
